Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,18002_AvalParcial,18002_TaxaAssid,18003_AvalParcial,18003_TaxaAssid,18004_AvalParcial,18004_TaxaAssid,18005_AvalParcial,18005_TaxaAssid,18007_AvalParcial,18007_TaxaAssid,18011_AvalParcial,18011_TaxaAssid,18012_AvalParcial,18012_TaxaAssid,18013_AvalParcial,18013_TaxaAssid,18014_AvalParcial,18014_TaxaAssid,18015_AvalParcial,18015_TaxaAssid
b3,43,A43,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2014,ACTIVO,CTeSP Titular de curso de ensino secundário,Trabalhador Estudante,2,12,,12,0,,0,0,13,37,30,342,84,,,,,,,,,,30,2,,,,,,,,,,,,,,,,,,6,67,,0
b2,82,A82,M,,PORTUGAL,Sim,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de ensino secundário,Trabalhador Estudante,1,60,,30,0,,0,0,0,30,83,33,,,,,,,,,,30,5,,23,33,,0,,100,,6,67,,6,67,,,,,,,,,,
b3,90,A90,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2015,ACTIVO,CTeSP Titular de curso de especialização tecnológica / ensino superior,Ordinário,2,12,,12,0,6,0,0,12,85,10,0,,,,,,,,,,10,2,,,,,,100,,,,,,,,,,,,,,92,59
b2,104,A104,M,,PORTUGAL,Sim,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de ensino secundário,Trabalhador Estudante,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,30,5,,23,33,,0,,100,,13,33,,0,,,,,,,,,,
b2,182,A182,M,,PORTUGAL,Sim,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,10,5,,90,,100,,100,,93,33,,93,33,,,,,,,,,,
b2,191,A191,M,,PORTUGAL,Sim,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2017,ANULADO,CTeSP Titular de curso de especialização tecnológica / ensino superior,Ordinário,1,0,,0,0,,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
b2,208,A208,M,,PORTUGAL,Sim,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2017,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,1,60,,30,0,,0,0,0,10,0,10,12/09/2017,Deferida,27/10/2017,600,,,,,10,5,,93,33,,86,67,,100,,93,33,,93,33,,,,,,,,,,
b3,235,A235,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2014,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,6,,6,0,,0,0,11,04,10,0,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,100,,
b3,236,A236,M,,PORTUGAL,Não,Sim,,Curso Técnico Superior Profissional,1,C1,FALSO,2014,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,6,,6,0,,0,0,12,18,10,0,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,86,67,,
b3,237,A237,M,,PORTUGAL,Não,Sim,,Curso Técnico Superior Profissional,1,C1,FALSO,2014,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,6,,6,0,6,0,0,13,07,10,0,,,,,,,,,,30,1,,,,6,67,,,,,,,,,,,,,,,,
b3,366,A366,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2015,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,68,,26,0,30,12,40,11,92,10,0,,,,,,,,,,30,4,,,,,,100,,,,,,64,1,,,,,,70,,70,37
b3,373,A373,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2015,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,14,,14,0,,0,0,14,49,10,0,,,,,,,,,,10,2,,,,,,,,,,,,94,87,,,,,,100,,
b3,376,A376,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2015,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,40,,28,0,42,18,42,8571,11,10,0,,,,,,,,,,30,5,,,,0,,100,,,,,,,,100,,87,5,,,,92,59
b3,389,A389,M,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,FALSO,2015,ACTIVO,CTeSP Titular de curso de ensino secundário,Ordinário,2,6,,6,0,6,0,0,11,33,30,342,84,,,,,,,,,,10,1,,,,,,100,,,,,,,,,,,,,,
