TESTE_Desc,IDFICA,Subconjunto,Curso,Numero,Nome,EstadoMatricula,MOTIVO_ANULACAO,DATA_ANULACAO
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8220,8,A8,ANULADO,DESISTÊNCIA DE ESTUDO,30/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8200,24,A24,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8268,68,A68,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8290,123,A123,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8250,136,A136,ANULADO,DESISTÊNCIA DE ESTUDO,14/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8289,141,A141,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8236,142,A142,ANULADO,MOTIVOS DE SAÚDE,24/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8223,163,A163,ANULADO,MUDANÇA DE CURSO POR CESSAÇÃO DE CICLO DE ESTUDOS E ACREDITAÇÃO DE NOVO CICLO,15/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8267,190,A190,ANULADO,POR MOTIVOS PROFISSIONAIS,07/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b2,2100,191,A191,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b2,2111,197,A197,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b2,2115,198,A198,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8288,218,A218,ANULADO,DESISTÊNCIA DE ESTUDO,06/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8295,280,A280,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8240,282,A282,ANULADO,MUDANÇA DE UNIVERSIDADE,27/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b1,8292,441,A441,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8200,450,A450,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,48,b3,8244,480,A480,ANULADO,DESISTÊNCIA DE ESTUDO,04/01/2018
